name,gender,origin,bio,result_group,provenance,licence_text,attribution,image_path
Constance Wu,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/constance_wu/img_01.png
Michelle Yeoh,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/michelle_yeoh/img_01.png
Lucy Liu,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/lucy_liu/img_01.png
Ming-Na Wen,female,hollywood,,female,wikimedia,CC BY 4.0,"Photo by Super Festivals from Ft. Lauderdale, USA / Wikimedia Commons",data/images/ming_na_wen/img_01.png
Sandra Oh,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Sara Komatsu / Wikimedia Commons,data/images/sandra_oh/img_01.png
Kristen Bell,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/kristen_bell/img_01.png
Melissa McCarthy,female,hollywood,,female,wikimedia,CC BY-SA 2.0,Photo by https://www.flickr.com/photos/greg2600 / Wikimedia Commons,data/images/melissa_mccarthy/img_01.png
Tina Fey,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/tina_fey/img_01.png
Amy Poehler,female,hollywood,,female,wikimedia,CC BY-SA 2.0,"Photo by Gage Skidmore from Surprise, AZ, United States of America / Wikimedia Commons",data/images/amy_poehler/img_01.png
Maya Rudolph,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/maya_rudolph/img_01.png
Queen Latifah,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/queen_latifah/img_01.png
Whoopi Goldberg,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/whoopi_goldberg/img_01.png
Rosie Perez,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/rosie_perez/img_01.png
Taraji P. Henson,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomanoPhoto / Wikimedia Commons,data/images/taraji_p_henson/img_01.png
Kerry Washington,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/kerry_washington/img_01.png
Gabrielle Union,female,hollywood,,female,wikimedia,CC BY-SA 4.0,Photo by Adam Chitayat / Wikimedia Commons,data/images/gabrielle_union/img_01.png
Megan Fox,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/megan_fox/img_01.png
Olivia Wilde,female,hollywood,,female,wikimedia,CC BY 4.0,Photo by Colleen Sturtevant / Wikimedia Commons,data/images/olivia_wilde/img_01.png
Zoe Kravitz,female,hollywood,,female,wikimedia,CC BY 3.0,Photo by dvna creative agency: https://www.dvna.fr/ / Wikimedia Commons,data/images/zoe_kravitz/img_01.png
Hailee Steinfeld,female,hollywood,,female,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/hailee_steinfeld/img_01.png
